Symbol,industry
IDFCFIRSTB.NS,Banks—Regional
PREMEXPLN.NS,Specialty Chemicals
ICICIB22.NS,
EICHERMOT.NS,Auto Manufacturers
PNBHOUSING.NS,Mortgage Finance
PFC.NS,Credit Services
VTL.NS,Textile Manufacturing
DCM.NS,Metal Fabrication
ADANIENT.NS,Thermal Coal
SUDARSCHEM.NS,Specialty Chemicals
BPCL.NS,Oil & Gas Refining & Marketing
APLAPOLLO.NS,Steel
JITFINFRA.NS,Integrated Freight & Logistics
BANKBARODA.NS,Banks—Regional
AARTIIND.NS,Specialty Chemicals
EXIDEIND.NS,Auto Parts
CARYSIL.NS,Furnishings, Fixtures & Appliances
BRNL.NS,Infrastructure Operations
SESHAPAPER.NS,Paper & Paper Products
TATASTEEL.NS,Steel
ASTERDM.NS,Medical Care Facilities
EIHOTEL.NS,Lodging
GHCL.NS,Chemicals
TVSMOTOR.NS,Auto Manufacturers
BHEL.NS,Specialty Industrial Machinery
MITTAL.NS,Textile Manufacturing
PALREDTEC.NS,Information Technology Services
CHAMBLFERT.NS,Agricultural Inputs
AGI.NS,Packaging & Containers
KIOCL.NS,Steel
HIMATSEIDE.NS,Textile Manufacturing
BAJAJHIND.NS,Confectioners
ITI.NS,Communication Equipment
SUNDARMFIN.NS,Credit Services
RKEC.NS,Engineering & Construction
AMBER.NS,Furnishings, Fixtures & Appliances
ANDHRAPAP.NS,Paper & Paper Products
PAYTM.NS,Software—Infrastructure
SPIC.NS,Agricultural Inputs
GIPCL.NS,Utilities—Regulated Electric
TATAINVEST.NS,Capital Markets
HEXATRADEX.NS,Credit Services
APOLLO.NS,Aerospace & Defense
HCLTECH.NS,Information Technology Services
PARAGMILK.NS,Packaged Foods
IREDA.NS,Credit Services
RALLIS.NS,Agricultural Inputs
RAILTEL.NS,Telecom Services
SCI.NS,Marine Shipping
POWERINDIA.NS,Electronic Components
QUESS.NS,Staffing & Employment Services
PAKKA.NS,
MGL.NS,Utilities—Regulated Gas
KIRIINDUS.NS,Specialty Chemicals
JSWENERGY.NS,Utilities—Independent Power Producers
FINEORG.NS,Specialty Chemicals
CENTURYTEX.NS,Paper & Paper Products
BATAINDIA.NS,Footwear & Accessories
GABRIEL.NS,Auto Parts
ANGELONE.NS,Capital Markets
COROMANDEL.NS,Agricultural Inputs
ANDHRSUGAR.NS,Chemicals
GICHSGFIN.NS,Mortgage Finance
SAIL.NS,Steel
BASF.NS,Specialty Chemicals
HDFCLIFE.NS,Insurance—Life
ABFRL.NS,Apparel Manufacturing
ATULAUTO.NS,Auto Manufacturers
STARPAPER.NS,Paper & Paper Products
